,company_permalink,unique_investors,median_investor_value
463,/organization/accountnow,9,8.0
464,/organization/accredible,2,7.5
465,/organization/accruent,2,9.0
466,/organization/accruit,1,9.0
467,/organization/accumed-technologies,2,8.0
468,/organization/accumetrics,12,9.0
469,/organization/accumulate,6,5.5
470,/organization/accunostics,2,7.5
471,/organization/accupass,3,9.0
472,/organization/accupost-corporation,1,9.0
473,/organization/accuradio,1,8.0
474,/organization/accurate-group,2,8.0
475,/organization/accurev,1,9.0
476,/organization/accuri-cytometers,6,9.0
477,/organization/accuric,1,8.0
478,/organization/accuris-networks,1,8.0
479,/organization/accusilicon,2,7.0
480,/organization/accuvant,2,9.0
481,/organization/accuvein,2,9.0
482,/organization/ace-comm,8,6.5
483,/organization/ace-health,2,6.0
484,/organization/ace-metrix,4,9.0
485,/organization/aceable,1,7.0
486,/organization/acelrx-pharmaceuticals,1,9.0
487,/organization/acendi-interactive,1,5.0
488,/organization/acera-surgical,1,2.0
489,/organization/aceris-3d-inspection,2,6.5
490,/organization/acesion-pharma,1,9.0
491,/organization/acesobee,1,5.0
492,/organization/acetylon-pharmaceuticals,2,9.0
493,/organization/aceva-technologies,3,9.0
494,/organization/achala,1,0.0
495,/organization/achaogen,8,9.0
496,/organization/achates-power,5,9.0
497,/organization/acheive-cca,1,9.0
498,/organization/achica,3,9.0
499,/organization/achieve-financial-services,1,9.0
500,/organization/achieve-x,1,7.0
501,/organization/achieve3000,1,9.0
502,/organization/achieved-co,1,5.0
503,/organization/achievemint,3,8.0
504,/organization/achievers,5,9.0
505,/organization/achilles-group,2,6.5
506,/organization/achillion-pharmaceuticals,4,9.0
507,/organization/achronix-semiconductor,5,9.0
508,/organization/acinion,3,9.0
509,/organization/acision,3,9.0
510,/organization/aclaris-therapeutics,3,9.0
512,/organization/acm-capital-partners,2,7.5
513,/organization/acommerce,9,7.5
514,/organization/acompli-inc,5,9.0
515,/organization/acon,2,4.0
516,/organization/aconex,1,9.0
517,/organization/aconite-technology,1,8.0
518,/organization/acopia-networks,6,9.0
519,/organization/acopio,1,5.0
520,/organization/acorio,1,0.0
521,/organization/acorn-international,2,9.0
522,/organization/acorns-grow,5,5.5
523,/organization/acoustic-sensing-technology,1,8.0
524,/organization/acousticeye,4,9.0
525,/organization/acqua-telecom-ltd,3,2.0
526,/organization/acquaintable,1,5.0
527,/organization/acquia,10,9.0
528,/organization/acquisio,2,9.0
529,/organization/acrecent-financial,1,0.0
530,/organization/acrinta,1,0.0
531,/organization/acrisure,1,8.0
532,/organization/acrolinx-gmbh,1,8.0
533,/organization/acronis,2,9.0
534,/organization/across-the-universe,1,5.0
535,/organization/acs-biomarker,2,5.0
536,/organization/acs-clothing,1,9.0
537,/organization/acsian,1,9.0
538,/organization/acsis,1,9.0
539,/organization/act-biotech,1,9.0
540,/organization/act-on-software,5,9.0
541,/organization/actacell,5,9.0
542,/organization/actblue,1,9.0
543,/organization/actelis-networks,14,9.0
544,/organization/actiance,4,9.0
545,/organization/actifio,7,9.0
546,/organization/actimagine,1,9.0
547,/organization/actimis-pharmaceuticals,2,9.0
548,/organization/actimize,5,9.0
550,/organization/actinobac-biomed,1,4.0
551,/organization/action,1,9.0
552,/organization/action-online-entertainment,1,9.0
553,/organization/action-online-publishing,3,0.0
554,/organization/action-pharma,4,9.0
555,/organization/action-products-international,1,9.0
556,/organization/actionality,1,9.0
557,/organization/actionbase,1,7.0
558,/organization/actionengine,4,9.0
559,/organization/actioniq,4,9.0
560,/organization/actionplanner,1,1.0
562,/organization/actionsoft,1,9.0
563,/organization/actionx,4,9.0
564,/organization/actito,2,2.0
566,/organization/activ-financial-systems,1,9.0
567,/organization/activ8-intelligence,2,8.0
568,/organization/activaero,6,9.0
570,/organization/activate-healthcare,1,8.0
571,/organization/activate-hub,1,1.0
572,/organization/active-circle,3,9.0
573,/organization/active-dsp,1,8.0
574,/organization/active-endpoints,3,9.0
575,/organization/active-international,1,9.0
576,/organization/active-media,2,8.5
577,/organization/active-mind-technology,2,8.5
579,/organization/active-scaler,1,7.0
580,/organization/active-semi,1,9.0
581,/organization/active-storage,3,9.0
582,/organization/active-voice-corporation,1,9.0
583,/organization/activecloud,2,5.0
584,/organization/activeeon,3,4.0
585,/organization/activegift,1,1.0
586,/organization/activehours,2,9.0
587,/organization/activelifescientific,1,9.0
588,/organization/activenetwork,16,9.0
589,/organization/activepath,3,9.0
590,/organization/activerain,1,4.0
591,/organization/activereplay,1,8.0
592,/organization/activetrak,1,1.0
593,/organization/activiews,3,9.0
594,/organization/activiomics,2,7.5
595,/organization/activity-rocket-2,3,0.0
596,/organization/activityhero,2,9.0
597,/organization/activnetworks,2,6.0
598,/organization/actiwave,2,9.0
599,/organization/actix,1,9.0
600,/organization/acton-pharmaceuticals,1,9.0
601,/organization/actsocial,2,3.5
602,/organization/actual-experience,1,9.0
603,/organization/actualmeds,2,5.0
605,/organization/acturis,1,9.0
606,/organization/actus-digital,1,4.0
607,/organization/actx,1,9.0
608,/organization/acucar-guarani,1,8.0
609,/organization/acufocus,7,9.0
610,/organization/acuitas-medical,2,9.0
611,/organization/acuityads,1,8.0
612,/organization/acumatica,4,9.0
613,/organization/acumen-2,1,8.0
614,/organization/acumen-holdings,6,9.0
615,/organization/acumen-pharmaceuticals,1,8.0
616,/organization/acumentrics,1,9.0
617,/organization/acunote,1,9.0
618,/organization/acunu,4,9.0
619,/organization/acupera,2,4.0
620,/organization/acustom-apparel,1,6.0
621,/organization/acutus-medical,4,9.0
622,/organization/acylin-therapeutics,4,9.0
623,/organization/ad-dynamo,1,3.0
624,/organization/ad-hoc-labs-2,11,8.0
625,/organization/ad-infuse,3,9.0
627,/organization/ad-ly,4,9.0
628,/organization/ad-network-adisn,1,9.0
